group,row1,row2,matched_y_nm,matched_z_nm,len1_nm,len2_nm,total_length_nm,abs_direction_dot,complete_5000
组3,45,421,-1028.65263600888,0.015221859663427,1570.7107564586443,3429.289243541356,5000.0,1.0,True
组3,47,468,-731.749344336892,-1448.85070583919,2719.6039063448707,2280.396093655127,4999.999999999998,1.0,True
组3,48,404,-730.487962622236,1855.54491806651,1133.8748542010278,3866.1251457989715,4999.999999999999,0.9999999999999999,True
组3,49,418,-561.292731474646,2432.06024610751,1521.2992147504362,3478.7007852495617,4999.999999999998,1.0,True
组3,52,500,-424.768298245947,2438.90343590154,3790.5117635141814,1209.4882364858133,4999.9999999999945,0.9999999999999999,True
组3,53,474,-283.275356566054,933.891906571597,1166.4689946717895,3833.5310053282133,5000.000000000003,1.0,True
组3,55,502,-164.470951784556,-3645.76776975669,3360.0465203772746,1639.9534796227304,5000.0000000000055,1.0,True
组3,56,449,-26.7677428770708,-3530.30197874937,2350.5690666134938,2649.4309333865003,4999.9999999999945,1.0,True
组3,57,481,127.505239762082,-1252.26830164535,3112.9454020522185,1887.0545979477754,4999.999999999994,1.0,True
组3,59,504,219.832056652714,1547.39993402217,3858.5340030566,1141.4659969434003,5000.0,1.0,True
组3,60,431,346.991808315544,-355.331480048224,1835.0289031984546,3164.971096801552,5000.000000000006,0.9999999999999999,True
组3,61,501,365.573051258324,-447.706374220298,3851.4126671684735,1148.587332831526,5000.0,0.9999999999999999,True
组3,62,533,598.350872167653,-242.484499556541,3412.7178876246353,1587.2821123753622,4999.999999999997,1.0,True
组3,63,509,749.662862224878,3843.64876445069,3968.893669832232,1031.1063301677618,4999.999999999994,1.0,True
组3,64,463,1000.775202406,1139.47708819548,2685.6760287580933,2314.323971241903,4999.999999999996,1.0,True
组3,67,499,1046.11706766861,1788.56189644159,3350.0600666507207,1649.9399333492845,5000.0000000000055,1.0,True
组3,68,446,1194.16708449381,2524.20597801391,1051.9335501859841,3948.0664498140163,5000.0,1.0,True
组3,70,519,1627.86460746779,450.994674718855,4092.4903058783066,907.5096941216952,5000.000000000002,1.0,True
组3,71,376,1846.30617244491,-923.970593359659,703.6578416292421,4296.342158370756,4999.999999999998,1.0000000000000002,True
组3,72,524,2079.61755137113,2353.86167246439,3863.6457713094705,1136.354228690524,4999.9999999999945,1.0,True
组3,73,480,2103.41205632157,-2260.48027008985,2881.413688093943,2118.5863119060564,5000.0,1.0,True
组3,74,491,2297.16565005442,-2351.88553803245,3326.053025150123,1673.946974849876,4999.999999999999,1.0,True
组3,76,388,2352.95881316785,-4333.08370987709,690.7110208664845,4309.288979133511,4999.999999999995,0.9999999999999998,True
组3,77,517,2627.09113694637,1730.26194557632,3725.7910866581533,1274.208913341847,5000.0,1.0,True
组3,79,525,2818.62465634076,378.700572215921,4320.664865233921,679.3351347660835,5000.000000000005,1.0,True
组3,80,390,3028.59273721468,3838.84536454666,919.4071165032985,4080.5928834967062,5000.000000000005,1.0,True
组3,81,503,3254.23450499493,1899.31110932199,3399.8577180403504,1600.1422819596492,5000.0,1.0,True
组3,84,461,3565.49103718811,-2132.46832683517,811.9672405650101,4188.032759434987,4999.999999999997,0.9999999999999999,True
组3,85,465,3661.40876230168,200.799658762158,2575.7752959588224,2424.224704041175,4999.999999999997,0.9999999999999999,True
组3,86,516,3806.1067662756,-3937.37836358058,4088.707983910174,911.2920160898221,4999.999999999996,1.0,True
组3,92,424,4726.03596082898,3929.70319677292,1594.678851040646,3405.3211489593505,4999.999999999996,0.9999999999999999,True
