day,hour_start,hour_end,group,demand,coverage,slack
2,15:00,16:00,9,25,30,5
2,15:00,16:00,10,30,37,7
2,16:00,17:00,1,7,22,15
2,16:00,17:00,2,1,22,21
2,16:00,17:00,3,16,24,8
2,16:00,17:00,4,6,30,24
2,16:00,17:00,5,11,20,9
2,16:00,17:00,6,17,24,7
2,16:00,17:00,7,15,26,11
2,16:00,17:00,8,26,28,2
2,16:00,17:00,9,30,30,0
2,16:00,17:00,10,21,21,0
2,17:00,18:00,1,22,22,0
2,17:00,18:00,2,21,22,1
2,17:00,18:00,3,24,24,0
2,17:00,18:00,4,27,30,3
2,17:00,18:00,5,20,20,0
2,17:00,18:00,6,22,24,2
2,17:00,18:00,7,10,26,16
2,17:00,18:00,8,11,28,17
2,17:00,18:00,9,8,28,20
2,17:00,18:00,10,13,19,6
2,18:00,19:00,1,8,14,6
2,18:00,19:00,2,22,22,0
2,18:00,19:00,3,2,24,22
2,18:00,19:00,4,30,30,0
2,18:00,19:00,5,1,20,19
2,18:00,19:00,6,24,24,0
2,18:00,19:00,7,26,26,0
2,18:00,19:00,8,28,28,0
2,18:00,19:00,9,28,28,0
2,18:00,19:00,10,10,10,0
3,08:00,09:00,1,16,16,0
3,08:00,09:00,2,17,17,0
3,08:00,09:00,3,30,30,0
3,08:00,09:00,4,5,9,4
3,08:00,09:00,5,5,19,14
3,08:00,09:00,6,11,18,7
3,08:00,09:00,7,29,29,0
3,08:00,09:00,8,2,9,7
3,08:00,09:00,9,22,22,0
3,08:00,09:00,10,22,22,0
3,09:00,10:00,1,10,16,6
3,09:00,10:00,2,13,17,4
3,09:00,10:00,3,23,30,7
3,09:00,10:00,4,10,10,0
3,09:00,10:00,5,19,19,0
3,09:00,10:00,6,18,18,0
3,09:00,10:00,7,8,29,21
3,09:00,10:00,8,21,21,0
3,09:00,10:00,9,9,22,13
3,09:00,10:00,10,20,22,2
3,10:00,11:00,1,14,16,2
3,10:00,11:00,2,2,17,15
3,10:00,11:00,3,1,30,29
3,10:00,11:00,4,17,17,0
3,10:00,11:00,5,6,19,13
3,10:00,11:00,6,8,18,10
3,10:00,11:00,7,1,29,28
3,10:00,11:00,8,25,25,0
3,10:00,11:00,9,28,34,6
3,10:00,11:00,10,21,22,1
3,11:00,12:00,1,15,16,1
3,11:00,12:00,2,25,30,5
3,11:00,12:00,3,21,30,9
3,11:00,12:00,4,19,19,0
3,11:00,12:00,5,12,36,24
3,11:00,12:00,6,3,18,15
3,11:00,12:00,7,28,57,29
3,11:00,12:00,8,29,41,12
3,11:00,12:00,9,19,34,15
3,11:00,12:00,10,21,35,14
3,12:00,13:00,1,24,24,0
3,12:00,13:00,2,2,13,11
3,12:00,13:00,3,8,8,0
3,12:00,13:00,4,10,10,0
3,12:00,13:00,5,15,17,2
3,12:00,13:00,6,7,20,13
3,12:00,13:00,7,28,28,0
3,12:00,13:00,8,17,32,15
3,12:00,13:00,9,14,14,0
3,12:00,13:00,10,13,13,0
3,13:00,14:00,1,9,24,15
3,13:00,14:00,2,9,13,4
3,13:00,14:00,3,30,30,0
3,13:00,14:00,4,5,9,4
3,13:00,14:00,5,15,17,2
3,13:00,14:00,6,15,20,5
3,13:00,14:00,7,2,28,26
3,13:00,14:00,8,20,20,0
3,13:00,14:00,9,15,17,2
3,13:00,14:00,10,26,26,0
3,14:00,15:00,1,10,24,14
3,14:00,15:00,2,13,13,0
3,14:00,15:00,3,18,30,12
3,14:00,15:00,4,1,2,1
3,14:00,15:00,5,17,17,0
3,14:00,15:00,6,28,28,0
3,14:00,15:00,7,3,28,25
3,14:00,15:00,8,25,25,0
3,14:00,15:00,9,23,24,1
3,14:00,15:00,10,18,26,8
3,15:00,16:00,1,21,43,22
3,15:00,16:00,2,17,24,7
3,15:00,16:00,3,28,36,8
3,15:00,16:00,4,16,28,12
3,15:00,16:00,5,26,29,3
3,15:00,16:00,6,25,35,10
3,15:00,16:00,7,14,26,12
3,15:00,16:00,8,11,21,10
3,15:00,16:00,9,27,27,0
3,15:00,16:00,10,11,27,16
3,16:00,17:00,1,9,19,10
3,16:00,17:00,2,13,24,11
3,16:00,17:00,3,26,28,2
3,16:00,17:00,4,1,28,27
3,16:00,17:00,5,3,29,26
3,16:00,17:00,6,6,15,9
3,16:00,17:00,7,16,26,10
3,16:00,17:00,8,21,21,0
3,16:00,17:00,9,25,25,0
3,16:00,17:00,10,27,27,0
3,17:00,18:00,1,6,19,13
3,17:00,18:00,2,4,24,20
3,17:00,18:00,3,6,6,0
3,17:00,18:00,4,18,28,10
3,17:00,18:00,5,3,29,26
3,17:00,18:00,6,6,15,9
3,17:00,18:00,7,9,26,17
3,17:00,18:00,8,11,21,10
3,17:00,18:00,9,9,22,13
3,17:00,18:00,10,11,14,3
3,18:00,19:00,1,19,19,0
3,18:00,19:00,2,24,24,0
3,18:00,19:00,3,2,6,4
3,18:00,19:00,4,28,28,0
3,18:00,19:00,5,29,29,0
3,18:00,19:00,6,7,7,0
3,18:00,19:00,7,26,26,0
3,18:00,19:00,8,12,12,0
3,18:00,19:00,9,3,3,0
3,18:00,19:00,10,11,14,3
4,08:00,09:00,1,17,29,12
4,08:00,09:00,2,25,25,0
4,08:00,09:00,3,7,24,17
4,08:00,09:00,4,10,10,0
4,08:00,09:00,5,12,12,0
4,08:00,09:00,6,3,3,0
4,08:00,09:00,7,1,26,25
4,08:00,09:00,8,25,25,0
4,08:00,09:00,9,22,30,8
4,08:00,09:00,10,7,7,0
4,09:00,10:00,1,29,29,0
4,09:00,10:00,2,12,25,13
4,09:00,10:00,3,9,24,15
4,09:00,10:00,4,14,14,0
4,09:00,10:00,5,22,25,3
4,09:00,10:00,6,1,18,17
4,09:00,10:00,7,26,26,0
4,09:00,10:00,8,14,25,11
4,09:00,10:00,9,30,30,0
4,09:00,10:00,10,9,10,1
4,10:00,11:00,1,26,29,3
4,10:00,11:00,2,6,25,19
4,10:00,11:00,3,27,27,0
4,10:00,11:00,4,5,14,9
4,10:00,11:00,5,28,32,4
4,10:00,11:00,6,11,18,7
4,10:00,11:00,7,29,29,0
4,10:00,11:00,8,19,25,6
4,10:00,11:00,9,21,30,9
4,10:00,11:00,10,5,10,5
4,11:00,12:00,1,2,49,47
4,11:00,12:00,2,23,25,2
4,11:00,12:00,3,14,37,23
4,11:00,12:00,4,1,30,29
4,11:00,12:00,5,8,32,24
4,11:00,12:00,6,24,26,2
4,11:00,12:00,7,5,36,31
4,11:00,12:00,8,28,53,25
4,11:00,12:00,9,14,59,45
4,11:00,12:00,10,27,36,9
4,12:00,13:00,1,15,20,5
4,12:00,13:00,2,27,29,2
4,12:00,13:00,3,1,13,12
4,12:00,13:00,4,20,20,0
4,12:00,13:00,5,24,24,0
4,12:00,13:00,6,23,23,0
4,12:00,13:00,7,2,10,8
4,12:00,13:00,8,29,29,0
4,12:00,13:00,9,16,29,13
4,12:00,13:00,10,30,30,0
4,13:00,14:00,1,12,20,8
4,13:00,14:00,2,29,29,0
4,13:00,14:00,3,13,13,0
4,13:00,14:00,4,28,30,2
4,13:00,14:00,5,9,11,2
4,13:00,14:00,6,8,8,0
4,13:00,14:00,7,10,10,0
4,13:00,14:00,8,2,29,27
4,13:00,14:00,9,29,29,0
4,13:00,14:00,10,9,27,18
4,14:00,15:00,1,25,25,0
4,14:00,15:00,2,1,29,28
4,14:00,15:00,3,18,18,0
4,14:00,15:00,4,21,30,9
4,14:00,15:00,5,14,14,0
4,14:00,15:00,6,5,15,10
4,14:00,15:00,7,12,12,0
4,14:00,15:00,8,27,29,2
4,14:00,15:00,9,9,29,20
4,14:00,15:00,10,27,27,0
4,15:00,16:00,1,23,29,6
4,15:00,16:00,2,30,52,22
4,15:00,16:00,3,8,24,16
4,15:00,16:00,4,24,28,4
4,15:00,16:00,5,29,29,0
4,15:00,16:00,6,24,25,1
4,15:00,16:00,7,15,21,6
4,15:00,16:00,8,26,26,0
4,15:00,16:00,9,1,18,17
4,15:00,16:00,10,23,23,0
4,16:00,17:00,1,19,29,10
4,16:00,17:00,2,17,23,6
4,16:00,17:00,3,13,24,11
4,16:00,17:00,4,28,28,0
4,16:00,17:00,5,18,25,7
4,16:00,17:00,6,21,25,4
4,16:00,17:00,7,9,21,12
4,16:00,17:00,8,12,25,13
4,16:00,17:00,9,9,18,9
4,16:00,17:00,10,19,22,3
4,17:00,18:00,1,3,29,26
4,17:00,18:00,2,22,23,1
4,17:00,18:00,3,22,24,2
4,17:00,18:00,4,11,14,3
4,17:00,18:00,5,25,25,0
4,17:00,18:00,6,25,25,0
4,17:00,18:00,7,13,21,8
4,17:00,18:00,8,25,25,0
4,17:00,18:00,9,18,18,0
4,17:00,18:00,10,4,22,18
4,18:00,19:00,1,24,24,0
4,18:00,19:00,2,23,23,0
4,18:00,19:00,3,16,16,0
4,18:00,19:00,4,1,14,13
4,18:00,19:00,5,10,15,5
4,18:00,19:00,6,15,18,3
4,18:00,19:00,7,16,16,0
4,18:00,19:00,8,18,25,7
4,18:00,19:00,9,11,18,7
4,18:00,19:00,10,22,22,0
5,08:00,09:00,1,25,25,0
5,08:00,09:00,2,3,3,0
5,08:00,09:00,3,21,27,6
5,08:00,09:00,4,22,22,0
5,08:00,09:00,5,29,29,0
5,08:00,09:00,6,7,7,0
5,08:00,09:00,7,14,17,3
5,08:00,09:00,8,29,29,0
5,08:00,09:00,9,30,30,0
5,08:00,09:00,10,24,30,6
5,09:00,10:00,1,20,26,6
5,09:00,10:00,2,5,5,0
5,09:00,10:00,3,27,27,0
5,09:00,10:00,4,8,22,14
5,09:00,10:00,5,3,29,26
5,09:00,10:00,6,20,26,6
5,09:00,10:00,7,20,20,0
5,09:00,10:00,8,24,29,5
5,09:00,10:00,9,20,30,10
5,09:00,10:00,10,30,30,0
5,10:00,11:00,1,20,26,6
5,10:00,11:00,2,12,12,0
5,10:00,11:00,3,8,27,19
5,10:00,11:00,4,26,26,0
5,10:00,11:00,5,13,29,16
5,10:00,11:00,6,28,28,0
5,10:00,11:00,7,11,20,9
5,10:00,11:00,8,26,29,3
5,10:00,11:00,9,17,30,13
5,10:00,11:00,10,5,30,25
5,11:00,12:00,1,24,35,11
5,11:00,12:00,2,23,30,7
5,11:00,12:00,3,28,44,16
5,11:00,12:00,4,24,40,16
5,11:00,12:00,5,20,56,36
5,11:00,12:00,6,5,35,30
5,11:00,12:00,7,20,38,18
5,11:00,12:00,8,24,51,27
5,11:00,12:00,9,7,30,23
5,11:00,12:00,10,22,57,35
5,12:00,13:00,1,10,10,0
5,12:00,13:00,2,27,27,0
5,12:00,13:00,3,6,17,11
5,12:00,13:00,4,8,18,10
5,12:00,13:00,5,20,27,7
5,12:00,13:00,6,22,28,6
5,12:00,13:00,7,21,21,0
5,12:00,13:00,8,16,22,6
5,12:00,13:00,9,27,27,0
5,12:00,13:00,10,17,27,10
5,13:00,14:00,1,10,10,0
5,13:00,14:00,2,4,30,26
5,13:00,14:00,3,17,17,0
5,13:00,14:00,4,18,18,0
5,13:00,14:00,5,27,27,0
5,13:00,14:00,6,9,9,0
5,13:00,14:00,7,18,18,0
5,13:00,14:00,8,19,22,3
5,13:00,14:00,9,13,27,14
5,13:00,14:00,10,17,27,10
5,14:00,15:00,1,21,36,15
5,14:00,15:00,2,28,37,9
5,14:00,15:00,3,6,17,11
5,14:00,15:00,4,15,16,1
5,14:00,15:00,5,27,27,0
5,14:00,15:00,6,8,8,0
5,14:00,15:00,7,8,18,10
5,14:00,15:00,8,22,22,0
5,14:00,15:00,9,11,27,16
5,14:00,15:00,10,29,29,0
5,15:00,16:00,1,18,28,10
5,15:00,16:00,2,17,24,7
5,15:00,16:00,3,19,28,9
5,15:00,16:00,4,15,22,7
5,15:00,16:00,5,21,22,1
5,15:00,16:00,6,28,31,3
5,15:00,16:00,7,2,10,8
5,15:00,16:00,8,24,30,6
5,15:00,16:00,9,29,50,21
5,15:00,16:00,10,6,32,26
5,16:00,17:00,1,28,28,0
5,16:00,17:00,2,24,24,0
5,16:00,17:00,3,20,28,8
5,16:00,17:00,4,21,22,1
5,16:00,17:00,5,21,22,1
5,16:00,17:00,6,13,31,18
5,16:00,17:00,7,1,10,9
5,16:00,17:00,8,11,30,19
5,16:00,17:00,9,13,23,10
5,16:00,17:00,10,12,32,20
5,17:00,18:00,1,15,27,12
5,17:00,18:00,2,19,19,0
5,17:00,18:00,3,28,28,0
5,17:00,18:00,4,22,22,0
5,17:00,18:00,5,15,22,7
5,17:00,18:00,6,4,31,27
5,17:00,18:00,7,10,10,0
5,17:00,18:00,8,9,30,21
5,17:00,18:00,9,5,23,18
5,17:00,18:00,10,17,32,15
5,18:00,19:00,1,1,1,0
5,18:00,19:00,2,2,5,3
5,18:00,19:00,3,3,28,25
5,18:00,19:00,4,20,20,0
5,18:00,19:00,5,22,22,0
5,18:00,19:00,6,30,30,0
5,18:00,19:00,7,8,10,2
5,18:00,19:00,8,30,30,0
5,18:00,19:00,9,23,23,0
5,18:00,19:00,10,30,30,0
6,08:00,09:00,1,2,10,8
6,08:00,09:00,2,5,22,17
6,08:00,09:00,3,7,22,15
6,08:00,09:00,4,13,29,16
6,08:00,09:00,5,16,16,0
6,08:00,09:00,6,15,15,0
6,08:00,09:00,7,9,9,0
6,08:00,09:00,8,15,20,5
6,08:00,09:00,9,8,8,0
6,08:00,09:00,10,22,22,0
6,09:00,10:00,1,29,29,0
6,09:00,10:00,2,5,22,17
6,09:00,10:00,3,22,22,0
6,09:00,10:00,4,29,29,0
6,09:00,10:00,5,1,16,15
6,09:00,10:00,6,9,15,6
6,09:00,10:00,7,12,23,11
6,09:00,10:00,8,7,21,14
6,09:00,10:00,9,15,24,9
6,09:00,10:00,10,20,22,2
6,10:00,11:00,1,3,29,26
6,10:00,11:00,2,23,23,0
6,10:00,11:00,3,21,22,1
6,10:00,11:00,4,30,30,0
6,10:00,11:00,5,30,30,0
6,10:00,11:00,6,6,15,9
6,10:00,11:00,7,3,23,20
6,10:00,11:00,8,21,21,0
6,10:00,11:00,9,7,24,17
6,10:00,11:00,10,6,22,16
6,11:00,12:00,1,22,29,7
6,11:00,12:00,2,21,38,17
6,11:00,12:00,3,11,48,37
6,11:00,12:00,4,21,48,27
6,11:00,12:00,5,7,45,38
6,11:00,12:00,6,29,29,0
6,11:00,12:00,7,13,23,10
6,11:00,12:00,8,10,38,28
6,11:00,12:00,9,2,36,34
6,11:00,12:00,10,2,32,30
6,12:00,13:00,1,19,19,0
6,12:00,13:00,2,10,16,6
6,12:00,13:00,3,24,26,2
6,12:00,13:00,4,1,19,18
6,12:00,13:00,5,5,29,24
6,12:00,13:00,6,24,24,0
6,12:00,13:00,7,26,26,0
6,12:00,13:00,8,18,18,0
6,12:00,13:00,9,28,28,0
6,12:00,13:00,10,10,10,0
6,13:00,14:00,1,9,12,3
6,13:00,14:00,2,22,22,0
6,13:00,14:00,3,26,26,0
6,13:00,14:00,4,19,19,0
6,13:00,14:00,5,29,29,0
6,13:00,14:00,6,8,24,16
6,13:00,14:00,7,11,19,8
6,13:00,14:00,8,1,20,19
6,13:00,14:00,9,12,12,0
6,13:00,14:00,10,22,22,0
6,14:00,15:00,1,22,22,0
6,14:00,15:00,2,29,29,0
6,14:00,15:00,3,4,26,22
6,14:00,15:00,4,13,18,5
6,14:00,15:00,5,29,37,8
6,14:00,15:00,6,17,31,14
6,14:00,15:00,7,17,28,11
6,14:00,15:00,8,20,20,0
6,14:00,15:00,9,10,12,2
6,14:00,15:00,10,23,24,1
6,15:00,16:00,1,25,28,3
6,15:00,16:00,2,5,28,23
6,15:00,16:00,3,4,27,23
6,15:00,16:00,4,15,26,11
6,15:00,16:00,5,25,28,3
6,15:00,16:00,6,23,23,0
6,15:00,16:00,7,30,39,9
6,15:00,16:00,8,28,30,2
6,15:00,16:00,9,14,29,15
6,15:00,16:00,10,18,27,9
6,16:00,17:00,1,28,28,0
6,16:00,17:00,2,28,28,0
6,16:00,17:00,3,1,27,26
6,16:00,17:00,4,26,26,0
6,16:00,17:00,5,20,28,8
6,16:00,17:00,6,4,13,9
6,16:00,17:00,7,27,27,0
6,16:00,17:00,8,30,30,0
6,16:00,17:00,9,11,29,18
6,16:00,17:00,10,27,27,0
6,17:00,18:00,1,6,16,10
6,17:00,18:00,2,1,22,21
6,17:00,18:00,3,25,27,2
6,17:00,18:00,4,2,26,24
6,17:00,18:00,5,28,28,0
6,17:00,18:00,6,10,13,3
6,17:00,18:00,7,6,20,14
6,17:00,18:00,8,15,27,12
6,17:00,18:00,9,27,29,2
6,17:00,18:00,10,8,15,7
6,18:00,19:00,1,2,6,4
6,18:00,19:00,2,14,14,0
6,18:00,19:00,3,27,27,0
6,18:00,19:00,4,26,26,0
6,18:00,19:00,5,6,6,0
6,18:00,19:00,6,6,6,0
6,18:00,19:00,7,1,11,10
6,18:00,19:00,8,27,27,0
6,18:00,19:00,9,29,29,0
6,18:00,19:00,10,13,13,0
7,08:00,09:00,1,12,26,14
7,08:00,09:00,2,20,23,3
7,08:00,09:00,3,12,24,12
7,08:00,09:00,4,21,21,0
7,08:00,09:00,5,21,28,7
7,08:00,09:00,6,30,30,0
7,08:00,09:00,7,29,29,0
7,08:00,09:00,8,13,13,0
7,08:00,09:00,9,10,17,7
7,08:00,09:00,10,25,25,0
7,09:00,10:00,1,25,26,1
7,09:00,10:00,2,23,23,0
7,09:00,10:00,3,24,24,0
7,09:00,10:00,4,19,21,2
7,09:00,10:00,5,28,28,0
7,09:00,10:00,6,17,37,20
7,09:00,10:00,7,18,30,12
7,09:00,10:00,8,28,28,0
7,09:00,10:00,9,18,21,3
7,09:00,10:00,10,12,25,13
7,10:00,11:00,1,26,26,0
7,10:00,11:00,2,19,23,4
7,10:00,11:00,3,16,24,8
7,10:00,11:00,4,28,28,0
7,10:00,11:00,5,10,28,18
7,10:00,11:00,6,12,37,25
7,10:00,11:00,7,17,30,13
7,10:00,11:00,8,26,28,2
7,10:00,11:00,9,28,28,0
7,10:00,11:00,10,15,25,10
7,11:00,12:00,1,11,38,27
7,11:00,12:00,2,17,23,6
7,11:00,12:00,3,19,24,5
7,11:00,12:00,4,18,44,26
7,11:00,12:00,5,24,51,27
7,11:00,12:00,6,11,48,37
7,11:00,12:00,7,23,51,28
7,11:00,12:00,8,20,28,8
7,11:00,12:00,9,28,42,14
7,11:00,12:00,10,24,52,28
7,12:00,13:00,1,12,12,0
7,12:00,13:00,2,13,14,1
7,12:00,13:00,3,19,27,8
7,12:00,13:00,4,18,23,5
7,12:00,13:00,5,23,23,0
7,12:00,13:00,6,18,18,0
7,12:00,13:00,7,22,22,0
7,12:00,13:00,8,26,26,0
7,12:00,13:00,9,25,25,0
7,12:00,13:00,10,19,27,8
7,13:00,14:00,1,11,18,7
7,13:00,14:00,2,14,14,0
7,13:00,14:00,3,27,27,0
7,13:00,14:00,4,23,23,0
7,13:00,14:00,5,23,23,0
7,13:00,14:00,6,10,11,1
7,13:00,14:00,7,21,21,0
7,13:00,14:00,8,11,11,0
7,13:00,14:00,9,21,21,0
7,13:00,14:00,10,27,27,0
7,14:00,15:00,1,23,23,0
7,14:00,15:00,2,17,19,2
7,14:00,15:00,3,21,27,6
7,14:00,15:00,4,24,28,4
7,14:00,15:00,5,17,23,6
7,14:00,15:00,6,11,11,0
7,14:00,15:00,7,13,21,8
7,14:00,15:00,8,13,22,9
7,14:00,15:00,9,14,14,0
7,14:00,15:00,10,23,27,4
7,15:00,16:00,1,21,30,9
7,15:00,16:00,2,26,37,11
7,15:00,16:00,3,28,54,26
7,15:00,16:00,4,11,30,19
7,15:00,16:00,5,28,28,0
7,15:00,16:00,6,10,28,18
7,15:00,16:00,7,16,20,4
7,15:00,16:00,8,29,39,10
7,15:00,16:00,9,27,27,0
7,15:00,16:00,10,25,28,3
7,16:00,17:00,1,25,30,5
7,16:00,17:00,2,22,23,1
7,16:00,17:00,3,14,27,13
7,16:00,17:00,4,28,30,2
7,16:00,17:00,5,18,28,10
7,16:00,17:00,6,14,28,14
7,16:00,17:00,7,15,20,5
7,16:00,17:00,8,14,28,14
7,16:00,17:00,9,14,27,13
7,16:00,17:00,10,19,28,9
7,17:00,18:00,1,24,24,0
7,17:00,18:00,2,23,23,0
7,17:00,18:00,3,19,27,8
7,17:00,18:00,4,30,30,0
7,17:00,18:00,5,28,28,0
7,17:00,18:00,6,21,28,7
7,17:00,18:00,7,20,20,0
7,17:00,18:00,8,28,28,0
7,17:00,18:00,9,22,27,5
7,17:00,18:00,10,28,28,0
7,18:00,19:00,1,19,19,0
7,18:00,19:00,2,18,18,0
7,18:00,19:00,3,27,27,0
7,18:00,19:00,4,18,18,0
7,18:00,19:00,5,17,28,11
7,18:00,19:00,6,28,28,0
7,18:00,19:00,7,11,20,9
7,18:00,19:00,8,17,17,0
7,18:00,19:00,9,27,27,0
7,18:00,19:00,10,17,28,11
8,08:00,09:00,1,14,22,8
8,08:00,09:00,2,10,16,6
8,08:00,09:00,3,14,24,10
8,08:00,09:00,4,19,19,0
8,08:00,09:00,5,30,30,0
