metric,value,unit_or_scope
fuel_mass_consistency_overlap_mfuel_per_cycle_kg_range,"[2.7604373558762376e-05, 3.176481620429095e-05]","programmatic check of baseline, 0.5 degree refinement and 31 overlap conditions"
target_converged,True,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_cycles_completed,4,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_state_relative_residual,9.525932406946824e-07,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_work_J,453.9536102286643,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_qwall_J,46.814963745734474,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_torque_Nm,68.15036503646216,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_power_kW,42.820137227602444,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_IMEP_bar,11.093766732915213,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_BMEP_bar,10.464430795806562,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_FMEP_bar,0.629335937108652,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_eta_m,0.9432712123609548,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_eta_b,0.33566428101209983,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_BSFC_g_kWh,246.55176428102558,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_mfuel_per_cycle_kg,2.9326056611725016e-05,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_mfuel_per_cycle_mg,29.326056611725015,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_fresh_charge_start_mg,425.22782087001275,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_fresh_charge_end_mg,425.22799209390627,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_pmax_MPa,4.286973480808949,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
target_Tmax_K,2739.895669191576,"6000 r/min, 128 degree overlap; conditioned cross-engine model prediction"
refinement_half_degree_relative_difference_work_J,0.00033207986140060004,one-degree formal result versus 0.5-degree RK4 refinement
refinement_half_degree_relative_difference_torque_Nm,0.0003520442742949408,one-degree formal result versus 0.5-degree RK4 refinement
refinement_half_degree_relative_difference_power_kW,0.00035204427429496275,one-degree formal result versus 0.5-degree RK4 refinement
refinement_half_degree_relative_difference_IMEP_bar,0.0003320798614005825,one-degree formal result versus 0.5-degree RK4 refinement
refinement_half_degree_relative_difference_BMEP_bar,0.00035204427429477833,one-degree formal result versus 0.5-degree RK4 refinement
refinement_half_degree_relative_difference_eta_b,9.628201630497202e-05,one-degree formal result versus 0.5-degree RK4 refinement
refinement_half_degree_relative_difference_BSFC_g_kWh,9.627274697096502e-05,one-degree formal result versus 0.5-degree RK4 refinement
swept_volume_single_chamber_cm3,409.197003288147,Question 1 verified single-chamber convention
overlap_scan_deg,20--170 by 5,20 degree is scan lower boundary; no true optimum claim
